基金代码,基金名称,基金类型,拼音缩写,拼音全称,是否QDII
000319,宏利淘利债券A,债券型-混合一级,HLTLZQA,HONGLITAOLIZHAIQUANA,
000320,宏利淘利债券C,债券型-混合一级,HLTLZQC,HONGLITAOLIZHAIQUANC,
000322,农银汇理金汇债券A,债券型-长债,NYHLJHZQA,NONGYINHUILIJINHUIZHAIQUANA,
000324,华润元大现金收益货币A,货币型-普通货币,HRYDXJSYHBA,HUARUNYUANDAXIANJINSHOUYIHUOBIA,
000325,华润元大现金收益货币B,货币型-普通货币,HRYDXJSYHBB,HUARUNYUANDAXIANJINSHOUYIHUOBIB,
000326,南方中小盘成长股票A,股票型,NFZXPCZGPA,NANFANGZHONGXIAOPANCHENGZHANGGUPIAOA,
000327,南方潜力新蓝筹混合A,混合型-偏股,NFQLXLCHHA,NANFANGQIANLIXINLANCHOUHUNHEA,
000328,摩根转型动力混合A,混合型-灵活,MGZXDLHHA,MOGENZHUANXINGDONGLIHUNHEA,
000329,鹏华丰饶定开债,债券型-混合一级,PHFRDKZ,PENGHUAFENGRAODINGKAIZHAI,
000330,汇添富现金宝货币A,货币型-普通货币,HTFXJBHBA,HUITIANFUXIANJINBAOHUOBIA,
000331,中加货币A,货币型-普通货币,ZJHBA,ZHONGJIAHUOBIA,
000332,中加货币C,货币型-普通货币,ZJHBC,ZHONGJIAHUOBIC,
000333,长城稳固收益债券A,债券型-混合二级,CCWGSYZQA,CHANGCHENGWENGUSHOUYIZHAIQUANA,
000334,长城稳固收益债券C,债券型-混合二级,CCWGSYZQC,CHANGCHENGWENGUSHOUYIZHAIQUANC,
000335,安信永利信用债券C,债券型-混合一级,AXYLXYZQC,ANXINYONGLIXINYONGZHAIQUANC,
000336,农银研究精选混合,混合型-灵活,NYYJJXHH,NONGYINYANJIUJINGXUANHUNHE,
000338,鹏华双债保利债券B,债券型-混合二级,PHSZBLZQB,PENGHUASHUANGZHAIBAOLIZHAIQUANB,
000339,长城医疗保健混合A,混合型-偏股,CCYLBJHHA,CHANGCHENGYILIAOBAOJIANHUNHEA,
000341,嘉实新兴市场C2(QDII),QDII-纯债,JSXXSCC2QDII,JIASHIXINXINGSHICHANGC2QDII,Y
000342,嘉实新兴市场A1(QDII),QDII-纯债,JSXXSCA1QDII,JIASHIXINXINGSHICHANGA1QDII,Y
000343,华夏财富宝货币A,货币型-普通货币,HXCFBHBA,HUAXIACAIFUBAOHUOBIA,
000345,鹏华丰融定开债,债券型-混合一级,PHFRDKZ,PENGHUAFENGRONGDINGKAIZHAI,
000346,建信安心回报6个月定开A,债券型-长债,JXAXHB6GYDKA,JIANXINANXINHUIBAO6GEYUEDINGKAIA,
000347,建信安心回报6个月定开C,债券型-长债,JXAXHB6GYDKC,JIANXINANXINHUIBAO6GEYUEDINGKAIC,
000351,国富恒丰一年持有期债券A,债券型-混合一级,GFHFYNCYQZQA,GUOFUHENGFENGYINIANCHIYOUQIZHAIQUANA,
000352,国富恒丰一年持有期债券C,债券型-混合一级,GFHFYNCYQZQC,GUOFUHENGFENGYINIANCHIYOUQIZHAIQUANC,
000354,长盛城镇化主题混合A,混合型-偏股,CSCZHZTHHA,CHANGSHENGCHENGZHENHUAZHUTIHUNHEA,
000355,南方丰元信用增强债券A,债券型-混合一级,NFFYXYZQZQA,NANFANGFENGYUANXINYONGZENGQIANGZHAIQUANA,
000356,南方丰元信用增强债券C,债券型-混合一级,NFFYXYZQZQC,NANFANGFENGYUANXINYONGZENGQIANGZHAIQUANC,
000359,易方达易理财货币A,货币型-普通货币,YFDYLCHBA,YIFANGDAYILICAIHUOBIA,
000362,国泰聚信价值优势混合A,混合型-灵活,GTJXJZYSHHA,GUOTAIJUXINJIAZHIYOUSHIHUNHEA,
000363,国泰聚信价值优势混合C,混合型-灵活,GTJXJZYSHHC,GUOTAIJUXINJIAZHIYOUSHIHUNHEC,
000366,汇添富添富通货币A,货币型-普通货币,HTFTFTHBA,HUITIANFUTIANFUTONGHUOBIA,
000367,国泰安康定期支付混合A,混合型-偏债,GTAKDQZFHHA,GUOTAIANKANGDINGQIZHIFUHUNHEA,
000368,汇添富沪深300安中指数A,指数型-股票,HTFHS300AZZSA,HUITIANFUHUSHEN300ANZHONGZHISHUA,
000369,广发全球医疗保健指数人民币(QDII)A,指数型-海外股票,GFQQYLBJZSRMBQDIIA,GUANGFAQUANQIUYILIAOBAOJIANZHISHURENMINBIQDIIA,
000370,广发全球医疗保健美元现汇(QDII)A,指数型-海外股票,GFQQYLBJMYXHQDIIA,GUANGFAQUANQIUYILIAOBAOJIANMEIYUANXIANHUIQDIIA,
000371,民生加银现金宝货币A,货币型-普通货币,MSJYXJBHBA,MINSHENGJIAYINXIANJINBAOHUOBIA,
000372,中银惠利半年定期开放债券A,债券型-长债,ZYHLBNDQKFZQA,ZHONGYINHUILIBANNIANDINGQIKAIFANGZHAIQUANA,
000373,华安中证细分医药ETF联接A,指数型-股票,HAZZXFYYETFLJA,HUAANZHONGZHENGXIFENYIYAOETFLIANJIEA,
000376,华安中证细分医药ETF联接C,指数型-股票,HAZZXFYYETFLJC,HUAANZHONGZHENGXIFENYIYAOETFLIANJIEC,
000377,摩根双债增利债券A,债券型-混合二级,MGSZZLZQA,MOGENSHUANGZHAIZENGLIZHAIQUANA,
000378,摩根双债增利债券C,债券型-混合二级,MGSZZLZQC,MOGENSHUANGZHAIZENGLIZHAIQUANC,
000379,平安日增利货币A,货币型-普通货币,PARZLHBA,PINGANRIZENGLIHUOBIA,
000380,景顺长城景益货币A,货币型-普通货币,JSCCJYHBA,JINGSHUNCHANGCHENGJINGYIHUOBIA,
000381,景顺长城景益货币B,货币型-普通货币,JSCCJYHBB,JINGSHUNCHANGCHENGJINGYIHUOBIB,
000385,景顺长城景颐双利债券A,债券型-混合二级,JSCCJYSLZQA,JINGSHUNCHANGCHENGJINGYISHUANGLIZHAIQUANA,
000386,景顺长城景颐双利债券C,债券型-混合二级,JSCCJYSLZQC,JINGSHUNCHANGCHENGJINGYISHUANGLIZHAIQUANC,
000389,广发天天红货币A,货币型-普通货币,GFTTHHBA,GUANGFATIANTIANHONGHUOBIA,
000390,华商优势行业混合A,混合型-灵活,HSYSHYHHA,HUASHANGYOUSHIHANGYEHUNHEA,
000394,融通通源短融债券A,债券型-中短债,RTTYDRZQA,RONGTONGTONGYUANDUANRONGZHAIQUANA,
000395,汇添富安心中国债券A,债券型-长债,HTFAXZGZQA,HUITIANFUANXINZHONGGUOZHAIQUANA,
000396,汇添富安心中国债券C,债券型-长债,HTFAXZGZQC,HUITIANFUANXINZHONGGUOZHAIQUANC,
000397,汇添富全额宝货币A,货币型-普通货币,HTFQEBHBA,HUITIANFUQUANEBAOHUOBIA,
000398,华富灵活配置混合A,混合型-灵活,HFLHPZHHA,HUAFULINGHUOPEIZHIHUNHEA,
000402,工银纯债债券A,债券型-长债,GYCZZQA,GONGYINCHUNZHAIZHAIQUANA,
000403,工银纯债债券B,债券型-长债,GYCZZQB,GONGYINCHUNZHAIZHAIQUANB,
000404,易方达新兴成长灵活配置,混合型-灵活,YFDXXCZLHPZ,YIFANGDAXINXINGCHENGZHANGLINGHUOPEIZHI,
000406,汇添富双利增强债券A,债券型-混合二级,HTFSLZQZQA,HUITIANFUSHUANGLIZENGQIANGZHAIQUANA,
000407,汇添富双利增强债券C,债券型-混合二级,HTFSLZQZQC,HUITIANFUSHUANGLIZENGQIANGZHAIQUANC,
000408,民生加银城镇化混合A,混合型-灵活,MSJYCZHHHA,MINSHENGJIAYINCHENGZHENHUAHUNHEA,
000409,鹏华环保产业股票,股票型,PHHBCYGP,PENGHUAHUANBAOCHANYEGUPIAO,
000410,益民服务领先混合A,混合型-灵活,YMFWLXHHA,YIMINFUWULINGXIANHUNHEA,
000411,景顺长城优质成长股票A,股票型,JSCCYZCZGPA,JINGSHUNCHANGCHENGYOUZHICHENGZHANGGUPIAOA,
000414,嘉实绝对收益策略定期混合A,混合型-绝对收益,JSJDSYCLDQHHA,JIASHIJUEDUISHOUYICELUEDINGQIHUNHEA,
000415,大摩添利18个月定开债A,债券型-长债,DMTL18GYDKZA,DAMOTIANLI18GEYUEDINGKAIZHAIA,
000416,大摩添利18个月定开债C,债券型-长债,DMTL18GYDKZC,DAMOTIANLI18GEYUEDINGKAIZHAIC,
000417,国联安新精选混合A,混合型-灵活,GLAXJXHHA,GUOLIANANXINJINGXUANHUNHEA,
000418,景顺长城成长之星股票A,股票型,JSCCCZZXGPA,JINGSHUNCHANGCHENGCHENGZHANGZHIXINGGUPIAOA,
000419,大摩优质信价纯债A,债券型-长债,DMYZXJCZA,DAMOYOUZHIXINJIACHUNZHAIA,
000420,大摩优质信价纯债C,债券型-长债,DMYZXJCZC,DAMOYOUZHIXINJIACHUNZHAIC,
000423,前海开源事件驱动混合A,混合型-灵活,QHKYSJQDHHA,QIANHAIKAIYUANSHIJIANQUDONGHUNHEA,
000424,长盛添利宝货币A,货币型-普通货币,CSTLBHBA,CHANGSHENGTIANLIBAOHUOBIA,
000425,长盛添利宝货币B,货币型-普通货币,CSTLBHBB,CHANGSHENGTIANLIBAOHUOBIB,
000431,鹏华品牌传承混合,混合型-灵活,PHPPCCHH,PENGHUAPINPAICHUANCHENGHUNHE,
000432,中银优秀企业混合A,混合型-偏股,ZYYXQYHHA,ZHONGYINYOUXIUQIYEHUNHEA,
000433,安信鑫发优选混合A,混合型-灵活,AXXFYXHHA,ANXINXINFAYOUXUANHUNHEA,
000434,新华壹诺宝货币A,货币型-普通货币,XHYNBHBA,XINHUAYINUOBAOHUOBIA,
000436,易方达裕惠定开混合A,混合型-偏债,YFDYHDKHHA,YIFANGDAYUHUIDINGKAIHUNHEA,
000452,南方医药保健灵活配置混合A,混合型-灵活,NFYYBJLHPZHHA,NANFANGYIYAOBAOJIANLINGHUOPEIZHIHUNHEA,
000457,摩根核心成长股票A,股票型,MGHXCZGPA,MOGENHEXINCHENGZHANGGUPIAOA,
000458,英大领先回报A,混合型-灵活,YDLXHBA,YINGDALINGXIANHUIBAOA,
000459,英大领先回报B,混合型-灵活,YDLXHBB,YINGDALINGXIANHUIBAOB,
000462,农银主题轮动混合A,混合型-灵活,NYZTLDHHA,NONGYINZHUTILUNDONGHUNHEA,
000464,嘉实活期宝货币A,货币型-普通货币,JSHQBHBA,JIASHIHUOQIBAOHUOBIA,
000465,景顺长城鑫月薪定期支付债券,债券型-长债,JSCCXYXDQZFZQ,JINGSHUNCHANGCHENGXINYUEXINDINGQIZHIFUZHAIQUAN,
000469,富国目标齐利一年期纯债债券,债券型-长债,FGMBQLYNQCZZQ,FUGUOMUBIAOQILIYINIANQICHUNZHAIZHAIQUAN,
000470,富国目标齐利一年期纯债债券(后端),债券型-长债,FGMBQLYNQCZZQ,FUGUOMUBIAOQILIYINIANQICHUNZHAIZHAIQUAN,
000471,富国城镇发展股票,股票型,FGCZFZGP,FUGUOCHENGZHENFAZHANGUPIAO,
000472,富国城镇发展股票(后端),股票型,FGCZFZGP,FUGUOCHENGZHENFAZHANGUPIAO,
000475,广发天天利货币A,货币型-普通货币,GFTTLHBA,GUANGFATIANTIANLIHUOBIA,
000476,广发天天利货币B,货币型-普通货币,GFTTLHBB,GUANGFATIANTIANLIHUOBIB,
000477,广发主题领先混合A,混合型-灵活,GFZTLXHHA,GUANGFAZHUTILINGXIANHUNHEA,
000478,建信中证500指数增强A,指数型-股票,JXZZ500ZSZQA,JIANXINZHONGZHENG500ZHISHUZENGQIANGA,
000480,东方红新动力混合A,混合型-灵活,DFHXDLHHA,DONGFANGHONGXINDONGLIHUNHEA,
000483,鑫元货币A,货币型-普通货币,XYHBA,XINYUANHUOBIA,
000484,鑫元货币B,货币型-普通货币,XYHBB,XINYUANHUOBIB,
000487,嘉实3个月理财债券A,债券型-中短债,JS3GYLCZQA,JIASHI3GEYUELICAIZHAIQUANA,
000488,嘉实3个月理财债券E,债券型-中短债,JS3GYLCZQE,JIASHI3GEYUELICAIZHAIQUANE,
000493,南方现金通A,货币型-普通货币,NFXJTA,NANFANGXIANJINTONGA,
000494,南方现金通B,货币型-普通货币,NFXJTB,NANFANGXIANJINTONGB,
000495,南方现金通C,货币型-普通货币,NFXJTC,NANFANGXIANJINTONGC,
000496,长安产业精选混合A,混合型-灵活,CACYJXHHA,CHANGANCHANYEJINGXUANHUNHEA,
000497,财通纯债债券A,债券型-长债,CTCZZQA,CAITONGCHUNZHAIZHAIQUANA,
000503,中信建投景和中短债A,债券型-中短债,ZXJTJHZDZA,ZHONGXINJIANTOUJINGHEZHONGDUANZHAIA,
000504,中信建投景和中短债C,债券型-中短债,ZXJTJHZDZC,ZHONGXINJIANTOUJINGHEZHONGDUANZHAIC,
000505,国寿安保货币A,货币型-普通货币,GSABHBA,GUOSHOUANBAOHUOBIA,
000506,国寿安保货币B,货币型-普通货币,GSABHBB,GUOSHOUANBAOHUOBIB,
000507,宏利宏达混合A,混合型-偏债,HLHDHHA,HONGLIHONGDAHUNHEA,
000508,宏利宏达混合B,混合型-偏债,HLHDHHB,HONGLIHONGDAHUNHEB,
000509,广发钱袋子货币A,货币型-普通货币,GFQDZHBA,GUANGFAQIANDAIZIHUOBIA,
000511,国泰国策驱动灵活配置混合A,混合型-灵活,GTGCQDLHPZHHA,GUOTAIGUOCEQUDONGLINGHUOPEIZHIHUNHEA,
000512,国泰沪深300指数增强A,指数型-股票,GTHS300ZSZQA,GUOTAIHUSHEN300ZHISHUZENGQIANGA,
000513,富国高端制造行业股票A,股票型,FGGDZZHYGPA,FUGUOGAODUANZHIZAOHANGYEGUPIAOA,
000514,富国高端制造行业股票A(后端),股票型,FGGDZZHYGPA,FUGUOGAODUANZHIZAOHANGYEGUPIAOA,
000516,富国祥利一年期定期开放债券型A,债券型-长债,FGXLYNQDQKFZQXA,FUGUOXIANGLIYINIANQIDINGQIKAIFANGZHAIQUANXINGA,
000517,富国祥利一年期定期开放债券型C,债券型-长债,FGXLYNQDQKFZQXC,FUGUOXIANGLIYINIANQIDINGQIKAIFANGZHAIQUANXINGC,
000520,上银新兴价值成长混合A,混合型-灵活,SYXXJZCZHHA,SHANGYINXINXINGJIAZHICHENGZHANGHUNHEA,
000521,诺安瑞鑫定开债券,债券型-长债,NARXDKZQ,NUOANRUIXINDINGKAIZHAIQUAN,
000522,华润元大信息传媒科技混合A,混合型-偏股,HRYDXXCMKJHHA,HUARUNYUANDAXINXICHUANMEIKEJIHUNHEA,
000523,国投瑞银医疗保健混合A,混合型-灵活,GTRYYLBJHHA,GUOTOURUIYINYILIAOBAOJIANHUNHEA,
000524,摩根民生需求股票A,股票型,MGMSXQGPA,MOGENMINSHENGXUQIUGUPIAOA,
000526,国泰浓益灵活配置混合A,混合型-灵活,GTNYLHPZHHA,GUOTAINONGYILINGHUOPEIZHIHUNHEA,
000527,南方新优享灵活配置混合A,混合型-灵活,NFXYXLHPZHHA,NANFANGXINYOUXIANGLINGHUOPEIZHIHUNHEA,
000528,工银薪金货币A,货币型-普通货币,GYXJHBA,GONGYINXINJINHUOBIA,
000529,广发竞争优势混合A,混合型-灵活,GFJZYSHHA,GUANGFAJINGZHENGYOUSHIHUNHEA,
000530,招商丰盛稳定增长混合A,混合型-灵活,ZSFSWDZZHHA,ZHAOSHANGFENGSHENGWENDINGZENGZHANGHUNHEA,
000531,东吴阿尔法灵活配置混合A,混合型-灵活,DWAEFLHPZHHA,DONGWUAERFALINGHUOPEIZHIHUNHEA,
000532,景顺长城优势企业混合A,混合型-偏股,JSCCYSQYHHA,JINGSHUNCHANGCHENGYOUSHIQIYEHUNHEA,
000533,永赢货币A,货币型-普通货币,YYHBA,YONGYINGHUOBIA,
000534,长盛高端装备混合A,混合型-灵活,CSGDZBHHA,CHANGSHENGGAODUANZHUANGBEIHUNHEA,
000535,长盛航天海工混合A,混合型-灵活,CSHTHGHHA,CHANGSHENGHANGTIANHAIGONGHUNHEA,
000536,前海开源可转债债券A,债券型-混合二级,QHKYKZZZQA,QIANHAIKAIYUANKEZHUANZHAIZHAIQUANA,
000538,诺安优势行业混合A,混合型-灵活,NAYSHYHHA,NUOANYOUSHIHANGYEHUNHEA,
000539,中银活期宝货币A,货币型-普通货币,ZYHQBHBA,ZHONGYINHUOQIBAOHUOBIA,
000540,国金金腾通货币A,货币型-普通货币,GJJTTHBA,GUOJINJINTENGTONGHUOBIA,
000541,华商创新成长混合发起式A,混合型-灵活,HSCXCZHHFQSA,HUASHANGCHUANGXINCHENGZHANGHUNHEFAQISHIA,
000542,上银慧财宝货币A,货币型-普通货币,SYHCBHBA,SHANGYINHUICAIBAOHUOBIA,
000543,上银慧财宝货币B,货币型-普通货币,SYHCBHBB,SHANGYINHUICAIBAOHUOBIB,
000545,中邮核心竞争力灵活配置混合,混合型-灵活,ZYHXJZLLHPZHH,ZHONGYOUHEXINJINGZHENGLILINGHUOPEIZHIHUNHE,
000546,兴业定开债A,债券型-混合一级,XYDKZA,XINGYEDINGKAIZHAIA,
000547,建信健康民生混合A,混合型-偏股,JXJKMSHHA,JIANXINJIANKANGMINSHENGHUNHEA,
000548,鹏华聚财通货币,货币型-普通货币,PHJCTHB,PENGHUAJUCAITONGHUOBI,
000549,华安大国新经济股票A,股票型,HADGXJJGPA,HUAANDAGUOXINJINGJIGUPIAOA,
000550,广发新动力混合A,混合型-偏股,GFXDLHHA,GUANGFAXINDONGLIHUNHEA,
000551,中信保诚幸福消费混合A,混合型-偏股,ZXBCXFXFHHA,ZHONGXINBAOCHENGXINGFUXIAOFEIHUNHEA,
000552,中加纯债一年A,债券型-长债,ZJCZYNA,ZHONGJIACHUNZHAIYINIANA,
000553,中加纯债一年C,债券型-长债,ZJCZYNC,ZHONGJIACHUNZHAIYINIANC,
000554,南方中国梦灵活配置混合A,混合型-灵活,NFZGMLHPZHHA,NANFANGZHONGGUOMENGLINGHUOPEIZHIHUNHEA,
000556,国投瑞银新机遇灵活配置混合A,混合型-灵活,GTRYXJYLHPZHHA,GUOTOURUIYINXINJIYULINGHUOPEIZHIHUNHEA,
000557,国投瑞银新机遇灵活配置混合C,混合型-灵活,GTRYXJYLHPZHHC,GUOTOURUIYINXINJIYULINGHUOPEIZHIHUNHEC,
000559,诺安天天宝A,货币型-普通货币,NATTBA,NUOANTIANTIANBAOA,
000560,诺安天天宝E,货币型-普通货币,NATTBE,NUOANTIANTIANBAOE,
000561,南方启元债券A,债券型-长债,NFQYZQA,NANFANGQIYUANZHAIQUANA,
000562,南方启元债券C,债券型-长债,NFQYZQC,NANFANGQIYUANZHAIQUANC,
000563,南方通利债券A,债券型-长债,NFTLZQA,NANFANGTONGLIZHAIQUANA,
000564,南方通利债券C,债券型-长债,NFTLZQC,NANFANGTONGLIZHAIQUANC,
000565,富国医疗保健行业混合A(后端),混合型-偏股,FGYLBJHYHHA,FUGUOYILIAOBAOJIANHANGYEHUNHEA,
000566,华泰柏瑞创新升级混合A,混合型-灵活,HTBRCXSJHHA,HUATAIBAIRUICHUANGXINSHENGJIHUNHEA,
000567,广发聚祥灵活混合,混合型-灵活,GFJXLHHH,GUANGFAJUXIANGLINGHUOHUNHE,
000569,鹏华增值宝货币,货币型-普通货币,PHZZBHB,PENGHUAZENGZHIBAOHUOBI,
000572,中银多策略混合A,混合型-灵活,ZYDCLHHA,ZHONGYINDUOCELUEHUNHEA,
000573,天弘通利混合A,混合型-灵活,THTLHHA,TIANHONGTONGLIHUNHEA,
000574,宝盈新价值混合A,混合型-灵活,BYXJZHHA,BAOYINGXINJIAZHIHUNHEA,
000575,兴全添利宝货币,货币型-普通货币,XQTLBHB,XINGQUANTIANLIBAOHUOBI,
000576,中邮货币A,货币型-普通货币,ZYHBA,ZHONGYOUHUOBIA,
000577,安信价值精选股票A,股票型,AXJZJXGPA,ANXINJIAZHIJINGXUANGUPIAOA,
000578,鑫元恒鑫收益增强债券型发起式A,债券型-混合二级,XYHXSYZQZQXFQSA,XINYUANHENGXINSHOUYIZENGQIANGZHAIQUANXINGFAQISHIA,
000579,鑫元恒鑫收益增强债券型发起式C,债券型-混合二级,XYHXSYZQZQXFQSC,XINYUANHENGXINSHOUYIZENGQIANGZHAIQUANXINGFAQISHIC,
000580,中邮货币B,货币型-普通货币,ZYHBB,ZHONGYOUHUOBIB,
000581,嘉实活钱包货币A,货币型-普通货币,JSHQBHBA,JIASHIHUOQIANBAOHUOBIA,
000582,富国信用债债券A/B(后端),债券型-长债,FGXYZZQAB,FUGUOXINYONGZHAIZHAIQUANAB,
000583,江信聚福定开债,债券型-混合一级,JXJFDKZ,JIANGXINJUFUDINGKAIZHAI,
000584,新华鑫益灵活配置混合C,混合型-灵活,XHXYLHPZHHC,XINHUAXINYILINGHUOPEIZHIHUNHEC,
000585,嘉实对冲套利定期混合A,混合型-绝对收益,JSDCTLDQHHA,JIASHIDUICHONGTAOLIDINGQIHUNHEA,
000586,景顺长城中小创精选股票A,股票型,JSCCZXCJXGPA,JINGSHUNCHANGCHENGZHONGXIAOCHUANGJINGXUANGUPIAOA,
000587,大成灵活配置混合A,混合型-灵活,DCLHPZHHA,DACHENGLINGHUOPEIZHIHUNHEA,
000588,招商招钱宝货币A,货币型-普通货币,ZSZQBHBA,ZHAOSHANGZHAOQIANBAOHUOBIA,
000589,光大银发商机混合A,混合型-偏股,GDYFSJHHA,GUANGDAYINFASHANGJIHUNHEA,
000590,华安新活力灵活配置混合A,混合型-灵活,HAXHLLHPZHHA,HUAANXINHUOLILINGHUOPEIZHIHUNHEA,
000591,中银健康生活混合A,混合型-偏股,ZYJKSHHHA,ZHONGYINJIANKANGSHENGHUOHUNHEA,
000592,建信改革红利股票A,股票型,JXGGHLGPA,JIANXINGAIGEHONGLIGUPIAOA,
000593,易方达标普消费品指数美元现汇A,指数型-海外股票,YFDBPXFPZSMYXHA,YIFANGDABIAOPUXIAOFEIPINZHISHUMEIYUANXIANHUIA,
000594,大摩进取优选股票,股票型,DMJQYXGP,DAMOJINQUYOUXUANGUPIAO,
000595,嘉实泰和混合,混合型-灵活,JSTHHH,JIASHITAIHEHUNHE,
000596,前海开源中证军工指数A,指数型-股票,QHKYZZJGZSA,QIANHAIKAIYUANZHONGZHENGJUNGONGZHISHUA,
000597,中海积极收益混合,混合型-灵活,ZHJJSYHH,ZHONGHAIJIJISHOUYIHUNHE,
000598,长盛生态环境混合A,混合型-灵活,CSSTHJHHA,CHANGSHENGSHENGTAIHUANJINGHUNHEA,
000599,中信保诚薪金宝货币A,货币型-普通货币,ZXBCXJBHBA,ZHONGXINBAOCHENGXINJINBAOHUOBIA,
000600,汇添富和聚宝货币A,货币型-普通货币,HTFHJBHBA,HUITIANFUHEJUBAOHUOBIA,
000601,华宝创新优选混合,混合型-偏股,HBCXYXHH,HUABAOCHUANGXINYOUXUANHUNHE,
000602,富国安益货币A,货币型-普通货币,FGAYHBA,FUGUOANYIHUOBIA,
000603,易方达创新驱动灵活配置混合,混合型-灵活,YFDCXQDLHPZHH,YIFANGDACHUANGXINQUDONGLINGHUOPEIZHIHUNHE,
000604,银华多利宝货币A,货币型-普通货币,YHDLBHBA,YINHUADUOLIBAOHUOBIA,
000605,银华多利宝货币B,货币型-普通货币,YHDLBHBB,YINHUADUOLIBAOHUOBIB,
000606,天弘优选债券A,债券型-长债,THYXZQA,TIANHONGYOUXUANZHAIQUANA,
000607,招商招钱宝货币B,货币型-普通货币,ZSZQBHBB,ZHAOSHANGZHAOQIANBAOHUOBIB,
000609,华商新量化混合A,混合型-灵活,HSXLHHHA,HUASHANGXINLIANGHUAHUNHEA,
000612,华宝生态中国混合A,混合型-偏股,HBSTZGHHA,HUABAOSHENGTAIZHONGGUOHUNHEA,
000613,国寿安保沪深300ETF联接A,指数型-股票,GSABHS300ETFLJA,GUOSHOUANBAOHUSHEN300ETFLIANJIEA,
000614,华安德国(DAX)联接(QDII)A,指数型-海外股票,HADGDAXLJQDIIA,HUAANDEGUODAXLIANJIEQDIIA,
000615,长城工资宝货币A,货币型-普通货币,CCGZBHBA,CHANGCHENGGONGZIBAOHUOBIA,
000618,嘉实薪金宝货币A,货币型-普通货币,JSXJBHBA,JIASHIXINJINBAOHUOBIA,
000619,东方红产业升级混合,混合型-灵活,DFHCYSJHH,DONGFANGHONGCHANYESHENGJIHUNHE,
000620,易方达现金增利货币A,货币型-普通货币,YFDXJZLHBA,YIFANGDAXIANJINZENGLIHUOBIA,
000621,易方达现金增利货币B,货币型-普通货币,YFDXJZLHBB,YIFANGDAXIANJINZENGLIHUOBIB,
000625,诺安天天宝B,货币型-普通货币,NATTBB,NUOANTIANTIANBAOB,
000626,大成丰财宝货币A,货币型-普通货币,DCFCBHBA,DACHENGFENGCAIBAOHUOBIA,
000627,大成丰财宝货币B,货币型-普通货币,DCFCBHBB,DACHENGFENGCAIBAOHUOBIB,
000628,大成高鑫股票A,股票型,DCGXGPA,DACHENGGAOXINGUPIAOA,
000634,富国天盛灵活配置基金,混合型-灵活,FGTSLHPZJJ,FUGUOTIANSHENGLINGHUOPEIZHIJIJIN,
000635,富国天盛灵活配置基金(后端),混合型-灵活,FGTSLHPZJJ,FUGUOTIANSHENGLINGHUOPEIZHIJIJIN,
000638,富国富钱包货币A,货币型-普通货币,FGFQBHBA,FUGUOFUQIANBAOHUOBIA,
000639,宝盈祥瑞混合A,混合型-偏债,BYXRHHA,BAOYINGXIANGRUIHUNHEA,
000640,诺安理财宝货币A,货币型-普通货币,NALCBHBA,NUOANLICAIBAOHUOBIA,
000641,诺安理财宝货币B,货币型-普通货币,NALCBHBB,NUOANLICAIBAOHUOBIB,
000642,汇添富货币C,货币型-普通货币,HTFHBC,HUITIANFUHUOBIC,
000644,招商招金宝货币A,货币型-普通货币,ZSZJBHBA,ZHAOSHANGZHAOJINBAOHUOBIA,
000645,华夏薪金宝货币,货币型-普通货币,HXXJBHB,HUAXIAXINJINBAOHUOBI,
000646,华润元大量化优选混合A,混合型-偏股,HRYDLHYXHHA,HUARUNYUANDALIANGHUAYOUXUANHUNHEA,
000647,易方达财富快线货币A,货币型-普通货币,YFDCFKXHBA,YIFANGDACAIFUKUAIXIANHUOBIA,
000648,易方达财富快线货币B,货币型-普通货币,YFDCFKXHBB,YIFANGDACAIFUKUAIXIANHUOBIB,
000649,长城久鑫混合A,混合型-灵活,CCJXHHA,CHANGCHENGJIUXINHUNHEA,
000650,汇添富货币D,货币型-普通货币,HTFHBD,HUITIANFUHUOBID,
000651,招商招金宝货币B,货币型-普通货币,ZSZJBHBB,ZHAOSHANGZHAOJINBAOHUOBIB,
000652,博时裕隆灵活配置混合A,混合型-灵活,BSYLLHPZHHA,BOSHIYULONGLINGHUOPEIZHIHUNHEA,
000654,华商新锐产业混合,混合型-灵活,HSXRCYHH,HUASHANGXINRUICHANYEHUNHE,
000655,鑫元稳利债券,债券型-长债,XYWLZQ,XINYUANWENLIZHAIQUAN,
000656,前海开源沪深300指数A,指数型-股票,QHKYHS300ZSA,QIANHAIKAIYUANHUSHEN300ZHISHUA,
000657,银华活钱宝货币A,货币型-普通货币,YHHQBHBA,YINHUAHUOQIANBAOHUOBIA,
000658,银华活钱宝货币B,货币型-普通货币,YHHQBHBB,YINHUAHUOQIANBAOHUOBIB,
000659,银华活钱宝货币C,货币型-普通货币,YHHQBHBC,YINHUAHUOQIANBAOHUOBIC,
000660,银华活钱宝货币D,货币型-普通货币,YHHQBHBD,YINHUAHUOQIANBAOHUOBID,
000661,银华活钱宝货币E,货币型-普通货币,YHHQBHBE,YINHUAHUOQIANBAOHUOBIE,
000662,银华活钱宝货币F,货币型-普通货币,YHHQBHBF,YINHUAHUOQIANBAOHUOBIF,
000663,国投瑞银美丽中国混合A,混合型-灵活,GTRYMLZGHHA,GUOTOURUIYINMEILIZHONGGUOHUNHEA,
